"","Event_description","LocationLon","LocationLat","Age","t1copeaccept","t1copeact","t1copeblame","t1copedenial","t1copediseng","t1copedistr","t1copeemosup","t1copehumor","t1copeinssup","t1copeplan","t1coperefram","t1copevent","Event_disruptiveness","t1emotions","t1found","t1gender","t1jobsa","t1jobstr","t1lang","t1location","Mean_event_severity","Event_novelty","t1occ","Event_performance impact","t1preocc","Problem_solved","t1threat","Business_age","t1wofa","t2copeaccept","t2copeact","t2copeblame","t2copedenial","t2copediseng","t2copedistr","t2copeemosup","t2copehumor","t2copeinssup","t2copeplan","t2coperefram","t2copevent","t2disrup","t2emotionslast","t2evcat","t2jobsa","t2jobstr","t2novel","t2perfo","t2profskill","t2threat","t2threatlast","t2wofa","t3copeaccept","t3copeact","t3copeblame","t3copedenial","t3copediseng","t3copedistr","t3copeemosup","t3copehumor","t3copeinssup","t3copeplan","t3coperefram","t3copevent","t3disrup","t3emotionslast","t3evcat","t3jobsa","t3jobstr","t3novel","t3perfo","t3threat","t3threatlast","t3wofa","ID_code","Severest_event","Education_level","Co-ownership","Industry"
"1","Rent of incubation space not reduced for non use during pandemic",93.7273864746094,25.9169006347656,34,3.5,3.5,1.5,1,1,2.5,4,2,4,4,3.5,1.5,5,2.53333333333333,1,1,0.508052863742162,1.66666666666667,3,2,2.66666666666667,1,3,2,NA,2,1.33333333333333,-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11111111111111,NA,0.852233548012638,1.83333333333333,NA,NA,2.85714285714286,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808452276276812,2.83333333333333,NA,NA,NA,NA,NA,1001,"Financial difficulties","University degree","Co-owned venture","Agriculture, Extractive, or 
Construction"
"2","unable to find suitable financial support to run business... as the business will generate revenues may be in 6months time 
",72.8856048583984,19.0747985839844,47,2.5,4,1,1,1,1,4,1,4,4,4,3,5,1.6,1,1,0.282596355422602,1,3,2,5,5,1,5,NA,1,5,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,"Financial difficulties","University degree","Co-owned venture","Information, Communications, 
or Technology"
"3","Partnership proposal with a party",77.4028930664062,23.2546997070312,24,3,3.5,1,1.5,3.5,1,3,1,1.5,4,4,1,5,1,1,1,0.945624994938901,1.16666666666667,3,2,4,3,1,4,NA,3,2.33333333333333,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11111111111111,NA,0.295383367677197,1.16666666666667,NA,NA,NA,3,NA,1003,"Other","University degree","Co-owned venture","Health, Education, Government, 
or Social and Consumer 
Services"
"4","many mistakes done especially in Operation",77.4028930664062,23.2546997070312,34,4,4,1,3,1,1,3,1,3,4,4,1,5,1,1,1,0.761735328934616,1.5,1,2,4.08333333333333,4,2,5,NA,4,4.66666666666667,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004,"Mistakes","University degree","Single owner","Agriculture, Extractive, or 
Construction"
"5","Web developer cheated me a i don’t have enough technical knowledge",77.3132019042969,28.4111938476562,20,2,4,3,1,1,3,3.5,1.5,4,3.5,1,2.5,5,3.93333333333333,1,1,-0.395462858968046,1.83333333333333,3,2,5.16666666666667,6,3,5,NA,4,4.33333333333333,-212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555555555556,NA,-0.0593183433219137,3.5,NA,NA,2.625,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005,"Absence or lack of personnel","University degree","Single owner","Health, Education, Government, 
or Social and Consumer 
Services"
"6","clients are not paying on time",73.8553924560547,18.5196075439453,36,4,3,2,2,3,3,2.5,3,3.5,3.5,3.5,2.5,4,3,1,1,-0.247189921684125,1.16666666666667,3,2,4.16666666666667,5,1,4,NA,4,3.33333333333333,1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,"Conflicts with clients, stakeholders, or colleagues","University degree","Co-owned venture","Agriculture, Extractive, or 
Construction"
"7","Firstly, appointing the right person for a particular job. I appointed a designer for my logo designing and liked her work too and paid her but exactly 3 days later found someone with whom I wished I could have asked him to design the logo for my company. Maybe his skills and talent would get me a unique one but to manage everything in the budget is a task for my startup. Can't explore options as I want to but yes with time I shall. 
Same is with other jobs as well..but this doesn't stop my work but just more explorations and contacts could have make few works of mine exceptional.",73.8553924560547,18.5196075439453,22,3.5,4,1.5,1,1,1,1,1.5,2.5,4,3.5,1.5,2,1.73333333333333,1,2,0.156309666780377,1.5,1,2,3,3,3,4,NA,3,1,-242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55555555555556,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,1007,"Financial difficulties","University degree","Single owner","Manufacturing, Logistics"
"8","Running Out of Working capital due to less revenue.",75.8538055419922,30.9120025634766,23,2.5,4,2.5,1.5,1,1,1.5,1,1.5,4,4,3,5,2.33333333333333,1,1,0.572694054036718,1.5,1,2,3,1,1,5,NA,3,3,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,2.5,4,2,1,2.5,1,1.5,1,2,4,4,1,5,2.66666666666667,1,0.878942591814168,1.66666666666667,2,5,2.66666666666667,3.66666666666667,NA,1008,"Financial difficulties","University degree","Co-owned venture","Manufacturing, Logistics"
"9","small team",75.8307037353516,22.7165069580078,28,2,3,2,1,1,2,1,1,2.5,3,3,1,4,2,1,2,0.687713235018139,1.66666666666667,3,2,4.33333333333333,5,1,4,NA,2,3.33333333333333,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,"Absence or lack of personnel","University degree","Co-owned venture","Information, Communications, 
or Technology"
"10","Our primary production machine suffered a break down due to unforeseen circumstances. The replacement part had to be shipped from the manufacturer (spare part was not handy and cannot be bought locally) affecting loss of time and decrease in productivity.",77.2315063476562,28.6519012451172,25,2,4,1,1,1,2.5,2,1,2.5,2,3.5,1,5,1.46666666666667,1,1,0.699074129550292,1.33333333333333,3,2,3.33333333333333,1,3,4,NA,5,3.33333333333333,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77777777777778,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88888888888889,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,1010,"Other","University degree","Co-owned venture","Other"
